region_code,MAPE_train,MAPE_val,MAPE_test
AL,0.2078,0.4397,0.1539
AT,0.0787,0.0815,0.0843
BA,0.1093,0.1273,0.1656
BE,0.0539,0.0546,0.0505
BG,0.0783,0.1106,0.1020
BR_N,0.0512,0.0492,0.0462
BR_NE,0.0546,0.0580,0.0493
BR_S,0.0860,0.0905,0.0800
BR_SE,0.0650,0.0714,0.0652
CA_AB,0.0549,0.2056,0.1936
CA_BC,0.0553,0.0506,0.0628
CA_NB,0.1000,0.0887,0.0985
CA_NL,0.1347,0.1741,0.1605
CA_NS,0.0881,0.0966,0.1037
CA_ON,0.0709,0.0757,0.0798
CA_PE,0.0683,0.0789,0.1085
CA_QC,0.1155,0.1097,0.1112
CA_YT,,,0.1254
CH,0.0752,0.0885,0.0941
CL,0.0727,0.0648,0.0698
CN,,,0.0895
CY,0.1129,0.1067,0.1201
CZ,0.0623,0.0714,0.0749
DE,0.0713,0.0667,0.0674
DK,0.0679,0.0646,0.0722
DZ,0.0897,0.0874,0.0646
EE,0.0692,0.0747,0.1023
ES,0.0634,0.0622,0.0234
FI,0.0548,0.0624,0.0664
FR,0.1156,0.1055,0.0234
GB,0.0765,0.1067,0.0786
GB_GB,0.0790,0.0922,0.0989
GE,0.0679,0.0746,0.0816
GR,0.0786,0.0870,0.0945
HR,0.0693,0.0696,0.0843
HU,0.0576,0.0793,0.0896
IE,0.0562,0.0418,0.0411
IN,0.0815,0.0701,0.1001
IT,0.1085,0.1049,0.1019
JP_Kantō,0.0717,0.0821,0.0853
KR,0.0586,0.0661,0.0800
LT,0.0701,0.0597,0.0660
LU,0.0838,0.0664,0.0680
LV,0.0752,0.0653,0.0603
MD,0.0900,0.0829,0.0931
ME,0.0997,0.1484,0.1570
MK,0.1395,0.2952,0.0567
MX_BCA,0.1434,0.1552,0.1775
MX_BCS,0.1065,0.1434,0.1319
MX_CEN,0.1151,0.0514,0.0547
MX_NES,0.0916,0.0931,0.0962
MX_NOR,0.1305,0.1775,0.1890
MX_NTE,0.1057,0.1051,0.1111
MX_OCC,0.1228,0.0877,0.0862
MX_ORI,0.1099,0.1083,0.1119
MX_PEN,0.1462,0.0960,0.1035
NG,,,0.0894
NL,0.0795,0.0725,0.0481
NO,0.0862,0.0848,0.0843
NZ,0.0711,0.0741,0.0724
PE,0.0525,0.0511,0.0482
PH,0.0684,0.0620,0.0581
PK,0.1103,0.1441,0.1394
PL,0.0620,0.0612,0.0650
PT,0.0718,0.0788,0.0818
RO,0.0567,0.0773,0.0865
RS,0.0959,0.0926,0.0959
SE,0.0841,0.0808,0.1028
SI,0.0737,0.1052,0.1077
SK,0.0527,0.0566,0.0525
TR,0.0694,0.0679,0.0978
TW,0.0616,0.0613,0.0888
UA,0.0611,0.0669,0.0835
US_CAL,0.0984,0.1046,0.1005
US_CAR,0.0888,0.0908,0.0922
US_CENT,0.0955,0.1073,0.1036
US_FLA,0.1326,0.1309,0.1276
US_MIDA,0.0985,0.0952,0.1004
US_MIDW,0.0991,0.1066,0.1160
US_NE,0.1049,0.1110,0.1170
US_NW,0.0637,0.0596,0.0678
US_NY,0.0969,0.0923,0.0972
US_SE,0.0918,0.0895,0.0875
US_SW,0.1133,0.1103,0.1181
US_TEN,0.0847,0.0794,0.0793
US_TEX,0.0764,0.0804,0.0694
XK,0.1789,0.1742,0.0959
ZA,0.1175,0.1173,0.1157
,,,
Average,0.0878,0.0966,0.0920
Min,0.0512,0.0418,0.0234
Max,0.2078,0.4397,0.1936
